SRA ID	SRA Run ID	BioSample ID	Sample name	# of Bases	Size	Published	Layout	Link	Mixture
30190693	SRR26528792	SAMN37987409	06-26-23-A41	671649046		2023/11/24		https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR26528792	Mixture42-v4.1-pos
30190692	SRR26528793	SAMN37987410	06-26-23-A41	634497808		2023/11/24		https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR26528793	Mixture41-v4.1-pos
30190691	SRR26528794	SAMN37987411	06-26-23-A41	589202290		2023/11/24		https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR26528794	Mixture40-v4.1-pos
30190690	SRR26528795	SAMN37987412	06-26-23-A41	687972142		2023/11/24		https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR26528795	Mixture39-v4.1-pos
30190689	SRR26528796	SAMN37987413	06-26-23-A41	681196573		2023/11/24		https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR26528796	Mixture38-v4.1-pos
30190688	SRR26528797	SAMN37987414	06-26-23-A41	813301449		2023/11/24		https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR26528797	Mixture37-v4.1-pos
30190687	SRR26528798	SAMN37987415	06-26-23-A41	919478575		2023/11/24		https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR26528798	Mixture36-v4.1-pos
30190686	SRR26528799	SAMN37987416	06-26-23-A41	778839599		2023/11/24		https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR26528799	Mixture35-v4.1-pos
30190685	SRR26528800	SAMN37987417	06-26-23-A41	718724387		2023/11/24		https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR26528800	Mixture34-v4.1-pos
30190684	SRR26528801	SAMN37987418	06-26-23-A41	790437336		2023/11/24		https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR26528801	Mixture33-v4.1-pos
30190683	SRR26528802	SAMN37987419	06-26-23-A41	660041396		2023/11/24		https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR26528802	Mixture32-v4.1-pos
30190682	SRR26528803	SAMN37987420	06-26-23-A41	584042101		2023/11/24		https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR26528803	Mixture31-v4.1-pos
30190681	SRR26528804	SAMN37987421	06-26-23-A41	679707979		2023/11/24		https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR26528804	Mixture30-v4.1-pos
